id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
771,Georginio Wijnaldum,36,2981,6,5.565248481929302,9,5.296915907412767,60,43,2,0,M S,Liverpool,6,5.565248481929302,18.880973957479,10.874715276062489,2016
806,Gareth McAuley,36,3150,6,3.691566973924637,1,0.37824810296297073,16,6,5,0,D,West Bromwich Albion,6,3.691566973924637,2.1038487255573273,1.773257914930582,2016
826,Benik Afobe,31,1436,6,8.921731073409319,3,1.8278376227244735,39,23,1,0,F S,Bournemouth,6,8.160559136420488,8.775064839050174,1.2637336254119873,2016
848,Charlie Austin,15,946,6,6.6213467717170715,1,1.6202973239123821,37,8,1,0,F S,Southampton,4,5.099007815122604,6.864499174058437,1.5632205940783024,2016
865,Marko Arnautovic,32,2742,6,9.1962870080024,5,7.129753512330353,60,50,9,1,F M,Stoke,6,8.43511831946671,17.06825363636017,4.3215431571006775,2016
1621,Marcos Alonso,31,2696,6,4.146677130833268,3,3.147042380645871,46,24,2,0,M S,Chelsea,6,4.146677130833268,13.073829955421388,8.17481913883239,2016
4422,Ashley Barnes,28,1788,6,6.592154681682587,2,2.3875336069613695,44,21,6,1,F S,Burnley,4,5.069816034287214,6.558956136927009,0.5661483881995082,2016
337,Leroy Sané,26,1793,5,5.820728005841374,3,5.704544333741069,33,35,4,0,F M S,Manchester City,5,5.820728005841374,14.744566721841693,6.49314147606492,2016
556,Marcus Rashford,32,1687,5,6.274289522320032,1,1.991822112351656,44,20,3,0,F M S,Manchester United,5,6.274289522320032,9.405529212206602,3.628077084198594,2016
592,Ross Barkley,36,2922,5,6.935658210888505,8,7.259016836993396,89,84,5,0,F M S,Everton,5,6.935658210888505,16.261969108134508,8.149087453261018,2016
604,Emre Can,32,2360,5,3.2143853222951293,2,2.0903315898030996,45,32,6,0,M S,Liverpool,5,3.2143853222951293,12.054565090686083,7.728923436254263,2016
